"id";"id_registro";"fecha";"linea";"op";"variable";"identificador";"duplo";"tipo_vigilancia";"tipo_herramienta";"vigil_preav";"vigil_restan";"vigil_nomin";"valor";"enviado"
"1";"100001";"02/07/2021 10:02";"CC07";"OP110A1";"160_SP1";"11011";"3";"2";"200";"50";"5048";"8108";"0";
"2";"100002";"02/07/2021 10:02";"CC07";"OP110A1";"161_ALMACEN1_1";"11001";"1";"2";"120";"50";"14743";"16447";"0";
"3";"100003";"02/07/2021 10:02";"CC07";"OP110A1";"162_ALMACEN1_2";"0";"0";"0";"0";"0";"0";"0";"0";
"4";"100004";"02/07/2021 10:02";"CC07";"OP110A1";"163_ALMACEN1_3";"11002";"1";"2";"120";"400";"2929";"70000";"0";
"5";"100005";"02/07/2021 10:02";"CC07";"OP110A1";"164_ALMACEN1_4";"0";"0";"0";"0";"0";"0";"0";"0";
"6";"100006";"02/07/2021 10:02";"CC07";"OP110A1";"165_ALMACEN1_5";"11003";"1";"2";"120";"50";"82902";"150000";"0";
"7";"100007";"02/07/2021 10:02";"CC07";"OP110A1";"166_ALMACEN1_6";"11004";"1";"2";"120";"50";"107902";"175000";"0";
"8";"100008";"02/07/2021 10:02";"CC07";"OP110A1";"167_ALMACEN1_7";"11005";"1";"2";"120";"50";"53075";"90000";"0";
"9";"100009";"02/07/2021 10:02";"CC07";"OP110A1";"168_ALMACEN1_8";"0";"0";"0";"0";"0";"0";"0";"0";
"10";"100010";"02/07/2021 10:02";"CC07";"OP110A1";"169_ALMACEN1_9";"11001";"2";"2";"120";"50";"13518";"16447";"0";
"11";"100011";"02/07/2021 10:02";"CC07";"OP110A1";"170_ALMACEN1_10";"0";"0";"0";"0";"0";"0";"0";"0";
"12";"100012";"02/07/2021 10:02";"CC07";"OP110A1";"171_ALMACEN1_11";"11002";"2";"2";"120";"50";"1922";"70000";"0";
"13";"100013";"02/07/2021 10:02";"CC07";"OP110A1";"172_ALMACEN1_12";"0";"0";"0";"0";"0";"0";"0";"0";
"14";"100014";"02/07/2021 10:02";"CC07";"OP110A1";"173_ALMACEN1_13";"11003";"2";"2";"120";"50";"81895";"150000";"0";
"15";"100015";"02/07/2021 10:02";"CC07";"OP110A1";"174_ALMACEN1_14";"11004";"2";"2";"120";"50";"106778";"175000";"0";
"16";"100016";"02/07/2021 10:02";"CC07";"OP110A1";"175_ALMACEN1_15";"11005";"2";"2";"120";"50";"52068";"90000";"0";
"17";"100017";"02/07/2021 10:02";"CC07";"OP110A1";"176_ALMACEN1_16";"11006";"1";"2";"200";"50";"2657";"7000";"0";
"18";"100018";"02/07/2021 10:02";"CC07";"OP110A1";"177_ALMACEN1_17";"11007";"1";"2";"200";"50";"3159";"4500";"0";
"19";"100019";"02/07/2021 10:02";"CC07";"OP110A1";"178_ALMACEN1_18";"11008";"1";"2";"200";"50";"1636";"2100";"0";
"20";"100020";"02/07/2021 10:02";"CC07";"OP110A1";"179_ALMACEN1_19";"11009";"2";"2";"240";"50";"523";"4500";"0";
"21";"100021";"02/07/2021 10:02";"CC07";"OP110A1";"180_ALMACEN1_20";"11010";"1";"2";"200";"50";"686";"1150";"0";
"22";"100022";"02/07/2021 10:02";"CC07";"OP110A1";"181_ALMACEN1_21";"0";"0";"0";"0";"0";"0";"0";"0";
"23";"100023";"02/07/2021 10:02";"CC07";"OP110A1";"182_ALMACEN1_22";"0";"0";"2";"0";"0";"0";"12000";"0";
"24";"100024";"02/07/2021 10:02";"CC07";"OP110A1";"183_ALMACEN1_23";"11013";"1";"2";"200";"50";"687";"1150";"0";
"25";"100025";"02/07/2021 10:02";"CC07";"OP110A1";"184_ALMACEN1_24";"11006";"2";"2";"200";"50";"1651";"7000";"0";
"26";"100026";"02/07/2021 10:02";"CC07";"OP110A1";"185_ALMACEN1_25";"11007";"2";"2";"200";"50";"2405";"4500";"0";
"27";"100027";"02/07/2021 10:02";"CC07";"OP110A1";"186_ALMACEN1_26";"11008";"2";"2";"200";"50";"1623";"2100";"0";
"28";"100028";"02/07/2021 10:02";"CC07";"OP110A1";"187_ALMACEN1_27";"11009";"3";"2";"240";"50";"26";"4500";"0";
"29";"100029";"02/07/2021 10:02";"CC07";"OP110A1";"188_ALMACEN1_28";"11010";"2";"2";"200";"50";"673";"1150";"0";
"30";"100030";"02/07/2021 10:02";"CC07";"OP110A1";"189_ALMACEN1_29";"0";"0";"0";"0";"0";"0";"0";"0";
"31";"100031";"02/07/2021 10:02";"CC07";"OP110A1";"190_ALMACEN1_30";"0";"0";"0";"240";"0";"0";"0";"0";
"32";"100032";"02/07/2021 10:02";"CC07";"OP110A1";"191_ALMACEN1_31";"11013";"2";"2";"200";"50";"674";"1150";"0";
